city;state;date_time;shape
Chester;VA;12/12/2019 18:43;light
Rocky Hill;CT;22/03/2019 18:30;circle
;;;
Ottawa;ON;17/04/2019 02:00;teardrop
Peoria;NY;15/03/2009 18:00;cigar
Kirbyville;TX;02/04/2019 20:25;disk
Tucson;AZ;01/05/2019 11:00;unknown
Gold Canyon;AZ;10/04/2019 17:00;circle
Dallas;TX;14/07/1973 22:00;oval
Caloocan City (Philippines);;06/06/2019 19:00;other
Brookville;IN;18/06/2019 21:00;sphere
Melbourne Beach;FL;12/06/2019 22:00;unknown
Carrizozo;NM;11/06/2019 22:00;changing
Waco;TX;15/06/2018 01:00;circle
Centerville;IA;15/08/1999 02:30;circle
Gray Court;SC;17/07/1975 00:00;light
Yuba City;CA;17/08/2019 00:00;formation
Abilene;TX;14/08/2019 01:00;light
Leyner;CO;09/08/2019 20:22;light
Catalina;AZ;09/08/2019 20:30;cigar
Santa Barbara;CA;06/08/2019 20:45;flash
Charlestown;RI;05/08/2019 14:00;chevron
Springfield;TN;03/08/2019 18:53;disk
Marin County;CA;01/08/2019 22:30;sphere
Maitland;FL;29/07/2019 08:13;other
Clarksville;TN;25/07/2019 19:06;
West Bowmanstown;PA;27/06/2019 01:00;triangle
Wall;NJ;15/06/2015 22:00;light
Franklin;TN;22/03/2006 21:07;chevron
Woodford Green (UK/England);;06/02/2006 04:30;other
Erie;PA;11/09/2001 09:00;cigar
N. Cascades Nat. Park;WA;15/07/1979 23:00;light
New York;NY;;cylinder
Bristol;PA;;light
Lulworth, Dorsetshire (near) (UK/England);;;
Alma;MI;;disk
Morehouse;MO;;cylinder
Palm Springs;CA;;cigar
Chicago;IL;;circle
Independence;MO;;fireball
Cincinnati;OH;;diamond
Golden;TX;;disk
Portland;OR;;unknown
Boston;MA;;disk
St Louis;MO;;sphere
El Cerrito;CA;;fireball
Guernsey;WY;;sphere
Columbus;OH;;circle
Woodland Hills;CA;;triangle
Louisville;KY;;unknown
Livingston;NJ;;disk
York;PA;;egg
Tehran (Iran);;;diamond
Vineland;NJ;;fireball
Lawrenceburg;KY;01/06/1969 21:00;disk
Orangevale;CA;01/06/1969 23:00;unknown
Rocky Mount;NC;27/07/1969 21:45;sphere
Warren;MI;01/07/1970 19:00;disk
South Windsor;CT;15/07/1970 19:00;oval
Stockton;CA;22/07/1970 20:00;fireball
Forrest City;AR;01/06/1971 17:00;disk
Broken Bow;OK;14/06/1971 20:45;triangle
Toronto;ON;15/07/1971 11:00;fireball
Puyallup;WA;25/07/1971 23:40;circle
Menands;NY;12/10/1971 22:00;chevron
Oxnard;CA;25/12/1971 08:00;sphere
Essex (UK/England);;07/05/1972 00:00;unknown
Les Escoumins;QC;01/07/1972 18:00;fireball
Cold Lake;AB;15/04/1973 21:30;light
San Jose;CA;15/06/1973 22:30;triangle
Alabama;AL;01/07/1973 22:00;unknown
Philip;SD;22/09/1973 15:00;disk
Collierville;TN;15/10/1973 16:00;disk
Ventura;CA;15/04/1974 22:00;circle
New Rochelle;NY;10/08/1974 01:00;oval
New Rochelle;NY;10/08/1974 13:00;oval
Columbia;SC;13/09/1974 21:00;disk
Waterford;PA;18/04/1975 07:40;disk
Rifle;CO;15/06/1975 10:00;disk
Marley Park;MD;04/07/1975 13:00;circle
Camp Hansen (Okinawa, Japan);;14/07/1975 14:00;triangle
Elmira Heights;NY;30/06/1976 21:15;circle
Houston;TX;01/08/1976 23:20;unknown
Sacramento;CA;15/09/1976 20:00;oval
Dallas;TX;30/10/1976 16:30;disk
Fort Worth;TX;01/06/1977 16:00;disk
Gaithersburg;MD;01/06/1977 23:45;cigar
Whittier;CA;30/06/1977 16:00;triangle
Hillsborough;CA;12/07/1977 01:30;cigar
Rock Hill;SC;15/07/1977 00:00;disk
Pensacola;FL;01/06/1978 19:00;oval
Ocean City;NJ;01/06/1978 20:00;triangle
Gadsden;AL;15/08/1978 15:30;sphere
Greenfield;IN;01/09/1978 21:15;light
Cold Lake;AB;20/05/1979 01:00;formation
Phoenix;AZ;20/08/1979 21:00;disk
East New York;NJ;15/09/1979 17:00;disk
Cape Elizabeth;ME;21/09/1979 01:00;light
Brampton;ON;03/11/1979 23:50;cross
Mount Weather;VA;24/06/1980 14:00;unknown
Bricktown;NJ;15/08/1980 20:00;formation
Kent;WA;22/08/1980 18:00;teardrop
Lilburn;GA;14/09/1981 20:30;disk
Rouyn Noranda;QC;01/06/1982 00:00;disk
Oakland;MD;01/06/1982 00:00;light
Excelsior Springs;MO;01/06/1982 10:00;triangle
Elizabeth Township;PA;01/10/1983 20:30;oval
Griffin;GA;15/03/1984 20:00;circle
Rouyn Noranda;QC;01/06/1984 17:00;sphere
Denton;TX;30/06/1984 21:00;light
Schuylkill Haven;PA;15/09/1984 20:00;triangle
Edgartown;MA;11/11/1984 23:00;triangle
Hay Lakes;AB;15/11/1984 10:15;circle
Bemidji;MN;01/06/1985 18:00;triangle
Marysville;WA;01/07/1985 20:30;unknown
Monterey Bay Area;CA;01/12/1985 14:00;formation
Knoxville;TN;04/04/1986 23:00;rectangle
Milpitas;CA;01/06/1986 22:00;light
Oxford (UK/England);;15/06/1986 12:30;sphere
Phoenix;AZ;13/07/1986 18:00;fireball
Kingwood;TX;31/07/1986 21:00;diamond
Marcellus;MI;01/08/1986 20:00;triangle
Las Vegas;NV;29/01/1987 22:00;disk
Butler;PA;14/04/1987 12:00;other
Kitsap County;WA;15/08/1987 00:00;light
Marina;CA;15/08/1987 01:00;other
Tulare;CA;15/09/1987 23:00;light
